,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
338,0.2909,0.0018,0.1994,0.0016,0.2125,0.0131,0.4917,0.0106,0.6553,0.0034,0.5023,0.0111,12.0,5.0,296.8279495239258,296.8279495239258,59.644093594672015
339,0.29,0.0025,0.1979,0.0022,0.2173,0.0168,0.4897,0.0094,0.6553,0.0031,0.5004,0.0099,12.0,6.0,280.45304894447327,280.45304894447327,56.29812692230478
340,0.2859,0.003,0.1949,0.0014,0.2391,0.0196,0.4888,0.0078,0.6554,0.0025,0.4993,0.0081,12.0,7.0,284.98452520370483,284.98452520370483,57.00066339909582
341,0.2829,0.0015,0.1936,0.0008,0.2553,0.0114,0.4872,0.0085,0.655,0.0026,0.4976,0.0088,12.0,8.0,301.3083076477051,301.3083076477051,60.142906039985284
342,0.2797,0.0014,0.1928,0.0013,0.2721,0.0094,0.4852,0.0086,0.6546,0.0027,0.4952,0.0089,12.0,9.0,354.0424990653992,354.0424990653992,70.4061237492309
343,0.2809,0.0021,0.1928,0.0014,0.2657,0.0145,0.4844,0.0085,0.6543,0.0027,0.4948,0.0089,12.0,10.0,274.129718542099,274.129718542099,54.94388442953475
344,0.279,0.0027,0.1924,0.0015,0.2755,0.0166,0.4829,0.0103,0.6542,0.0031,0.4933,0.011,12.0,11.0,286.3530240058899,286.3530240058899,57.09133085666755
345,0.2789,0.0019,0.1924,0.001,0.2761,0.013,0.4823,0.0083,0.6543,0.0026,0.4929,0.0086,12.0,12.0,290.3115015029907,290.3115015029907,57.66975389877
346,0.2777,0.0022,0.1923,0.0012,0.2823,0.014,0.4812,0.0079,0.654,0.0027,0.4917,0.0084,12.0,13.0,282.3939583301544,282.3939583301544,56.79575577150069
347,0.2768,0.0012,0.1913,0.0015,0.287,0.0085,0.4816,0.0085,0.6541,0.0028,0.4922,0.0088,12.0,14.0,288.694078207016,288.694078207016,57.868409199605175
348,0.2915,0.0014,0.1994,0.0008,0.2095,0.0108,0.4916,0.0092,0.6541,0.0033,0.502,0.0091,13.0,5.0,309.08453488349915,309.08453488349915,61.58910533807644
349,0.2871,0.0024,0.1967,0.0011,0.2333,0.0159,0.4921,0.0088,0.655,0.0025,0.5024,0.0091,13.0,6.0,268.6645815372467,268.6645815372467,53.49003603085749
350,0.2855,0.0016,0.1949,0.0013,0.2416,0.0112,0.4882,0.01,0.6549,0.0028,0.4986,0.0104,13.0,7.0,269.6655738353729,269.6655738353729,54.10730712350891
351,0.2832,0.0018,0.194,0.001,0.2539,0.013,0.4872,0.009,0.655,0.0028,0.4974,0.0096,13.0,8.0,280.916698217392,280.916698217392,56.007745520171234
352,0.2813,0.0018,0.1928,0.0013,0.2637,0.0123,0.486,0.0093,0.6549,0.0029,0.4964,0.0096,13.0,9.0,279.5706932544708,279.5706932544708,56.17336862439974
353,0.2802,0.0017,0.1929,0.0012,0.2696,0.012,0.4842,0.0089,0.6545,0.0028,0.4945,0.0092,13.0,10.0,348.5814001560211,348.5814001560211,69.83957189372946
354,0.2794,0.0015,0.1926,0.0015,0.2738,0.0092,0.4832,0.0097,0.6542,0.003,0.4935,0.0104,13.0,11.0,295.03326773643494,295.03326773643494,59.113972851400355
355,0.2778,0.0021,0.192,0.0018,0.2818,0.0133,0.483,0.0093,0.6542,0.0028,0.4935,0.0096,13.0,12.0,336.6669113636017,336.6669113636017,67.4143213638432
356,0.2781,0.0012,0.1916,0.0008,0.2805,0.0068,0.4829,0.0074,0.6543,0.0026,0.4933,0.0077,13.0,13.0,308.2549340724945,308.2549340724945,61.68927698890369
357,0.2773,0.0014,0.1919,0.0015,0.2846,0.0096,0.4815,0.008,0.6541,0.0026,0.4919,0.0084,13.0,14.0,310.1130518913269,310.1130518913269,62.19871261810081
358,0.2911,0.0015,0.1991,0.0011,0.2118,0.011,0.4936,0.0097,0.6556,0.0029,0.5042,0.0106,14.0,5.0,340.4717140197754,340.4717140197754,68.00352673145197
359,0.2874,0.0024,0.1963,0.0012,0.2316,0.0161,0.4928,0.0092,0.6557,0.0028,0.5034,0.0096,14.0,6.0,323.99882674217224,323.99882674217224,64.81695574312133
360,0.2848,0.0016,0.1944,0.0015,0.2451,0.0108,0.4909,0.0093,0.6554,0.0029,0.5017,0.0098,14.0,7.0,331.73482275009155,331.73482275009155,66.49735386755376
